Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,143706,147455,-147455,0
10 - 20,125232,134627,-134627,1
20 - 30,96917,91030,-91030,2
30 - 40,68993,65086,-65086,3
40 - 50,45526,41467,-41467,4
50 - 60,32385,29743,-29743,5
60 - 70,19019,16437,-16437,6
70 - 80,11724,9563,-9563,7
80+,11586,7320,-7320,8
