Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,101919,114418,-114418,0
10 - 20,86255,124991,-124991,1
20 - 30,40368,44268,-44268,2
30 - 40,33605,26992,-26992,3
40 - 50,19343,24068,-24068,4
50 - 60,7851,14352,-14352,5
60 - 70,4005,8116,-8116,6
70 - 80,2759,4233,-4233,7
80+,1996,2230,-2230,8
