Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,76072,78981,-78981,0
10 - 20,71707,74396,-74396,1
20 - 30,61045,57643,-57643,2
30 - 40,49748,46936,-46936,3
40 - 50,37377,34177,-34177,4
50 - 60,22123,19372,-19372,5
60 - 70,17343,15041,-15041,6
70 - 80,10120,8009,-8009,7
80+,8200,5064,-5064,8
