Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,120224,129428,-129428,0
10 - 20,118712,144037,-144037,1
20 - 30,67999,73813,-73813,2
30 - 40,45657,39215,-39215,3
40 - 50,26774,25824,-25824,4
50 - 60,15960,16103,-16103,5
60 - 70,8565,9429,-9429,6
70 - 80,3739,4241,-4241,7
80+,2530,2741,-2741,8
