Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,21573,22891,-22891,0
10 - 20,16953,17909,-17909,1
20 - 30,12609,12469,-12469,2
30 - 40,7119,7666,-7666,3
40 - 50,4702,5267,-5267,4
50 - 60,2866,3601,-3601,5
60 - 70,1703,1945,-1945,6
70 - 80,1134,1188,-1188,7
80+,914,702,-702,8
