Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,164290,179100,-179100,0
10 - 20,141504,202143,-202143,1
20 - 30,55077,63149,-63149,2
30 - 40,53241,37665,-37665,3
40 - 50,29951,36232,-36232,4
50 - 60,11080,20849,-20849,5
60 - 70,4994,11769,-11769,6
70 - 80,3183,5791,-5791,7
80+,2385,3143,-3143,8
