Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,59232,59966,-59966,0
10 - 20,49723,51413,-51413,1
20 - 30,52353,48289,-48289,2
30 - 40,40720,40851,-40851,3
40 - 50,27310,27703,-27703,4
50 - 60,15345,15164,-15164,5
60 - 70,10103,8866,-8866,6
70 - 80,6292,4834,-4834,7
80+,6266,3450,-3450,8
