Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,147877,147594,-147594,0
10 - 20,120100,118303,-118303,1
20 - 30,98263,88245,-88245,2
30 - 40,48126,51663,-51663,3
40 - 50,32192,28506,-28506,4
50 - 60,21679,19969,-19969,5
60 - 70,12999,11217,-11217,6
70 - 80,8113,6169,-6169,7
80+,4615,2821,-2821,8
