Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,92557,105304,-105304,0
10 - 20,78072,103172,-103172,1
20 - 30,49103,50200,-50200,2
30 - 40,32624,28408,-28408,3
40 - 50,17955,21881,-21881,4
50 - 60,7964,12559,-12559,5
60 - 70,4543,7019,-7019,6
70 - 80,2730,3720,-3720,7
80+,2420,2472,-2472,8
