Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,153446,159159,-159159,0
10 - 20,98995,103618,-103618,1
20 - 30,74985,68382,-68382,2
30 - 40,42355,43962,-43962,3
40 - 50,24346,25068,-25068,4
50 - 60,12145,13649,-13649,5
60 - 70,7455,7769,-7769,6
70 - 80,4149,4088,-4088,7
80+,3778,2943,-2943,8
