Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,57165,58667,-58667,0
10 - 20,45017,47182,-47182,1
20 - 30,35400,31859,-31859,2
30 - 40,24781,24171,-24171,3
40 - 50,16573,16334,-16334,4
50 - 60,9476,9115,-9115,5
60 - 70,6358,6182,-6182,6
70 - 80,3111,3071,-3071,7
80+,2607,1923,-1923,8
