Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,232015,239240,-239240,0
10 - 20,177969,182419,-182419,1
20 - 30,165240,151640,-151640,2
30 - 40,99803,105517,-105517,3
40 - 50,56597,60191,-60191,4
50 - 60,30558,32235,-32235,5
60 - 70,18870,18073,-18073,6
70 - 80,9702,9061,-9061,7
80+,7699,5807,-5807,8
