Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,131471,132328,-132328,0
10 - 20,104073,107516,-107516,1
20 - 30,71578,58686,-58686,2
30 - 40,40260,35152,-35152,3
40 - 50,31568,21508,-21508,4
50 - 60,26806,17493,-17493,5
60 - 70,18813,12819,-12819,6
70 - 80,12637,8724,-8724,7
80+,6155,4159,-4159,8
