Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,93068,95845,-95845,0
10 - 20,65659,69211,-69211,1
20 - 30,41993,35772,-35772,2
30 - 40,24504,22820,-22820,3
40 - 50,13666,13596,-13596,4
50 - 60,8387,8270,-8270,5
60 - 70,5236,4800,-4800,6
70 - 80,2680,2398,-2398,7
80+,2620,2047,-2047,8
