Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,36367,37180,-37180,0
10 - 20,31097,32385,-32385,1
20 - 30,23405,24990,-24990,2
30 - 40,17028,19774,-19774,3
40 - 50,11870,12850,-12850,4
50 - 60,8373,8535,-8535,5
60 - 70,5648,5175,-5175,6
70 - 80,3349,2847,-2847,7
80+,2129,1514,-1514,8
