Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,19825,20195,-20195,0
10 - 20,15468,15471,-15471,1
20 - 30,11778,9531,-9531,2
30 - 40,8008,7041,-7041,3
40 - 50,4601,4156,-4156,4
50 - 60,2966,2792,-2792,5
60 - 70,2215,1875,-1875,6
70 - 80,1252,1039,-1039,7
80+,1072,750,-750,8
