Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,118123,120919,-120919,0
10 - 20,90231,90922,-90922,1
20 - 30,67595,62935,-62935,2
30 - 40,40971,42747,-42747,3
40 - 50,25049,25136,-25136,4
50 - 60,15036,15823,-15823,5
60 - 70,8967,8801,-8801,6
70 - 80,5243,5125,-5125,7
80+,5121,3921,-3921,8
