Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,108248,111221,-111221,0
10 - 20,97920,103829,-103829,1
20 - 30,70443,64084,-64084,2
30 - 40,58149,51372,-51372,3
40 - 50,44900,37685,-37685,4
50 - 60,30782,26114,-26114,5
60 - 70,23395,20693,-20693,6
70 - 80,14122,10895,-10895,7
80+,11249,6535,-6535,8
