Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,163161,163058,-163058,0
10 - 20,115487,117375,-117375,1
20 - 30,82674,69417,-69417,2
30 - 40,44943,40368,-40368,3
40 - 50,27661,22719,-22719,4
50 - 60,18006,14964,-14964,5
60 - 70,10508,8632,-8632,6
70 - 80,6492,4940,-4940,7
80+,3636,2624,-2624,8
