Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,109299,110280,-110280,0
10 - 20,77803,78740,-78740,1
20 - 30,58109,43194,-43194,2
30 - 40,36898,33072,-33072,3
40 - 50,20100,20612,-20612,4
50 - 60,15025,14269,-14269,5
60 - 70,8791,8561,-8561,6
70 - 80,4587,4676,-4676,7
80+,3142,2430,-2430,8
