Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,74617,75371,-75371,0
10 - 20,60085,59924,-59924,1
20 - 30,47721,34649,-34649,2
30 - 40,28218,24285,-24285,3
40 - 50,17927,17268,-17268,4
50 - 60,11007,11446,-11446,5
60 - 70,6224,6219,-6219,6
70 - 80,3851,3485,-3485,7
80+,2690,1842,-1842,8
