Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,84180,85648,-85648,0
10 - 20,70511,69566,-69566,1
20 - 30,41695,31391,-31391,2
30 - 40,29042,22626,-22626,3
40 - 50,22326,16921,-16921,4
50 - 60,18678,15048,-15048,5
60 - 70,12489,10881,-10881,6
70 - 80,8279,7086,-7086,7
80+,4582,3408,-3408,8
