Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,45168,47292,-47292,0
10 - 20,37186,42129,-42129,1
20 - 30,21323,22944,-22944,2
30 - 40,13530,13738,-13738,3
40 - 50,8854,9385,-9385,4
50 - 60,5702,6546,-6546,5
60 - 70,3648,4200,-4200,6
70 - 80,2608,2886,-2886,7
80+,1998,1938,-1938,8
