Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,352757,351281,-351281,0
10 - 20,281306,235723,-235723,1
20 - 30,494464,445685,-445685,2
30 - 40,236679,317082,-317082,3
40 - 50,98594,155010,-155010,4
50 - 60,39875,65986,-65986,5
60 - 70,15769,22419,-22419,6
70 - 80,6759,6886,-6886,7
80+,5175,3348,-3348,8
