Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,135442,137718,-137718,0
10 - 20,100906,102567,-102567,1
20 - 30,72111,65377,-65377,2
30 - 40,43133,43537,-43537,3
40 - 50,26985,25661,-25661,4
50 - 60,16124,16220,-16220,5
60 - 70,8700,8692,-8692,6
70 - 80,4884,4654,-4654,7
80+,3201,2627,-2627,8
