Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,201383,203364,-203364,0
10 - 20,167891,161726,-161726,1
20 - 30,191610,170215,-170215,2
30 - 40,125333,133602,-133602,3
40 - 50,72516,78706,-78706,4
50 - 60,38033,40566,-40566,5
60 - 70,24267,22281,-22281,6
70 - 80,13633,10654,-10654,7
80+,10918,6130,-6130,8
