Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,85033,88261,-88261,0
10 - 20,70288,74948,-74948,1
20 - 30,48175,42276,-42276,2
30 - 40,39174,33640,-33640,3
40 - 50,26933,23669,-23669,4
50 - 60,13939,12709,-12709,5
60 - 70,10945,8521,-8521,6
70 - 80,5551,5067,-5067,7
80+,3983,2941,-2941,8
