Age,Female,Male,Male_Inverse,OBJECTID
0 - 10,39881,40577,-40577,0
10 - 20,27330,30522,-30522,1
20 - 30,18431,16597,-16597,2
30 - 40,11035,10113,-10113,3
40 - 50,6220,5832,-5832,4
50 - 60,3850,3565,-3565,5
60 - 70,2678,2492,-2492,6
70 - 80,1478,1433,-1433,7
80+,1017,846,-846,8
